su,Title,Short description,Image Link,Image caption
SF1,Nagpur,Nagpur (formerly Nagpore) is the third largest city and winter capital of the Indian state of Maharashtra. It is the 13th largest Indian city by population,https://en.wikipedia.org/wiki/Nagpur#/media/File:Diksha_Bhumi.jpg,Deeksha Bhoomi
SF2,Pune,"Pune is considered to be the cultural capital of Maharashtra. It is also known as the ""Oxford of the East"" due to the presence of several well-known educational institutions","https://commons.wikimedia.org/wiki/%E0%A4%AA%E0%A5%81%E0%A4%A3%E0%A5%87#/media/File:Shaniwar_Wada_fort,_Pune.jpg",Shaniwar Wada
SF3,Ahmedabad,"Ahmedabad is the largest city and former capital of the Indian state of Gujarat. Cricket is a popular sport in Ahmedabad, which houses the 54,000-seat Sardar Patel Stadium",https://en.wikipedia.org/wiki/Ahmedabad#/media/File:Sheth_Hutheesinh_Temple.jpg,Sheth Hutheesinh Temple
SF4,Surat,Surat is a city in the Indian state of Gujarat. It used to be a large seaport and is now a center for diamond cutting and polishing.,https://en.wikipedia.org/wiki/Surat#/media/File:Diamond_Polisher.jpg,Diamond polisher
SF5,Jind,"One of the first Sikh Kingdoms, Jind lies in the heart of Haryana and is the fourth district of the Jat belt",https://en.wikipedia.org/wiki/Jind#/media/File:RaniTalab.png,Rani Talab temple
SF6,Kanpur,Kanpur (formerly Cawnpore) is a large city in the state of Uttar Pradesh. The city is famous for its leather and textile industries.,https://en.wikipedia.org/wiki/Kanpur#/media/File:Kanpur_Central_Station.jpg,Kanpur Central Station
SF7,Amroha,Amroha Lok Sabha constituency is one of the 80 Lok Sabha (parliamentary) constituencies in Uttar Pradesh.,https://commons.wikimedia.org/wiki/Category:Amroha#/media/File:Azakhana_wazeer_un_nisa.jpg,"Amroha Uttar Pradesh, India Children on camels in front of Azakhana"
SF8,Mangalore,"Mangalore, officially known as Mangaluru, is the chief port city of the Indian state of Karnataka. It is the only city in Karnataka to have all modes of transport — Air, Road, Rail and Sea",https://commons.wikimedia.org/wiki/Mangalore#/media/File:Ullal_Bridge_Mangalore.JPG,"Ullal Bridge, Mangalore"
SF9,Tuticorin,"Tuticorin, officially known as Thoothukudi, is a port city and an industrial city in the Indian state of Tamil Nadu. The major harbour of Thoothukudi is well known as a pearl diving and fishing centre.",https://en.wikipedia.org/wiki/Thoothukudi#/media/File:Tuticorin_Thermal_Power_Station_at_Night_1_crop.jpg,Tuticorin Thermal Power Station
SF10,Cape Town,"Cape Town is the oldest city in South Africa, colloquially named the Mother City.",https://en.wikipedia.org/wiki/Cape_Town#/media/File:Clifton_Beachs.jpg,Clifton Beaches in Cape Town
SF11,Colombo,Colombo is the commercial capital and largest city of Sri Lanka by population.,https://en.wikipedia.org/wiki/Colombo#/media/File:InsideSeema.jpg,The Seema Malakaya of the Gangarama Temple 
SF12,Christ church,Christchurch is the largest city in the South Island of New Zealand and the seat of the Canterbury Region.,"https://en.wikipedia.org/wiki/Christchurch#/media/File:New_Brighton_and_the_Port_Hills,_Christchurch,_New_Zealand,_12_June_2008.jpg"," New Brighton and the Port Hills, Christchurch, New Zealand"
SF13,Dubbo,"Dubbo is a city in the Orana Region of New South Wales, Australia.",https://en.wikipedia.org/wiki/Dubbo#/media/File:Overlooking_Dubbo_from_the_suburb_of_West_Dubbo.jpg,Overlooking Dubbo from the suburb of West Dubbo
SF14,Sydney,Sydney is the state capital of New South Wales and the most populous city in Australia and Oceania.,https://en.wikipedia.org/wiki/File:Sydney_skyline_from_the_north_August_2016_(29009142591).jpg,Sydney skyline from the north
SF15,Jamaica,Jamaica is an island country situated in the Caribbean Sea.,https://en.wikipedia.org/wiki/Jamaica#/media/File:Montego_bay-1001.jpg,"Montego Bay, Jamaica"
SF16,Lahore,Lahore is the largest city in Pakistan and historic cultural centre of the Punjab region.,https://en.wikipedia.org/wiki/Lahore#/media/File:The_Badshahi_in_all_its_glory_during_the_Eid_Prayers.JPG,Badshahi Mosque
SF17,Transvaal,"The Province of the Transvaal (Afrikaans: Provinsie van die Transvaal), commonly referred to as the Transvaal, was a province of South Africa from 1910 until the end of apartheid in 1994, when a new constitution subdivided it.",https://en.wikipedia.org/wiki/Transvaal_(province)#/media/File:Colony_of_the_Transvaal.png,"Coat of Arms of the South African Republic, and later, the Transvaal Province."
SF18,Tauranga,Tauranga is the most populous city in the Bay of Plenty region of the North Island of New Zealand. It was settled by Māori late in the 13th century and by Europeans in the early 19th century and was constituted as a city in 1963.,https://en.wikipedia.org/wiki/Tauranga#/media/File:Mount_Maunganui-2952.jpg,Tauranga from Mount Maunganui
SF19,Taunton,"Taunton is a large regional town in Somerset, England. The town's population in 2011 was 69,570. Taunton has over 1,000 years of religious and military history.",https://en.wikipedia.org/wiki/Taunton#/media/File:Taunton.somerset.750pix.jpg,"The War Memorial and town centre, Taunton"
SF20,Ranji trophy,"The Ranji Trophy is a domestic first-class cricket championship played in India between teams representing regional and state cricket associations. The competition currently consists of 37 teams, with all 29 states in India and two of the seven union territories having at least one representation. The competition is named after first Indian cricketer who played international cricket, Ranjitsinhji, who was also known as 'Ranji",https://en.wikipedia.org/w/index.php?title=Ranji_Trophy&oldid=894186093#/media/File:Ranji_Trophy_logo.png,The logo for Paytm Ranji Trophy
SF21,Deodhar trophy,"The Deodhar Trophy is a List A cricket competition in Indian domestic cricket. It is named after Prof. D. B. Deodhar (known as the Grand Old Man of Indian cricket) and is a 50-over knockout competition played on an annual basis among the 3 national level teams - India A, India B and India C.",no image available,n/a
SF22,Syed Mustaq ali tournament,"The Syed Mushtaq Ali Trophy is a Twenty20 cricket domestic championship in India, organized by Board of Control for Cricket in India (BCCI), among the teams from Ranji Trophy. The 2008-09 season was the inaugural season for this trophy.",no image available,n/a
SF23,Duleep Trophy,"The Duleep Trophy is a domestic first-class cricket competition played in India. Named after Kumar Shri Duleepsinhji of Nawanagar (also known as 'Duleep'), the competition was originally contested by teams representing geographical zones of India.",no image available,n/a
SF24,Justin Langer,"Justin Lee Langer AM is an Australian former cricketer and the current coach of the Australian national men’s cricket team, having been appointed to the role in May 2018. A left-handed batsman, Langer is best known for his partnership with Matthew Hayden as Australia's test opening batsmen during the early and mid-2000s, considered one of the most successful ever.",https://en.wikipedia.org/wiki/Justin_Langer#/media/File:Justin_Langer_Portrait.png,"Justin Langer, Sydney Cricket Ground, 2 January 2007."
SF25,Yuvraj singh,"Yuvraj Singh (born 12 December 1981) is an Indian international cricketer, who plays all forms of the game. An all-rounder who bats left-handed in the middle order and bowls slow left-arm orthodox, Yuvraj is the son of former Indian fast bowler and Punjabi actor Yograj Singh.",https://en.wikipedia.org/wiki/Yuvraj_Singh#/media/File:Yuvraj_Singh_appointed_as_Ulysse_Nardin_watch_brand_ambassador.jpeg,Yuvraj Singh appointed as Ulysse Nardin watch brand ambassador
SF26,Tillakaratne Dilshan,"Tillakaratne Mudiyanselage Dilshan is a former Sri Lankan cricketer and former captain of the Sri Lanka national cricket team. As the best rated Sri Lankan player in run-chases in ODI history, he is often regarded as one of the most innovative batsmen of all time.",https://en.wikipedia.org/wiki/Tillakaratne_Dilshan#/media/File:Tillakaratne_Dilshan_portrait.jpg,Sri Lankan Cricketer Tillakaratne Dilshan
SF27,Zaheer Khan,"Zaheer Khan is an Indian former cricketer who played all forms of the game for the Indian national team from 2000 till 2014. He was the second-most successful Indian pace bowler in Test cricket, behind Kapil Dev.",https://en.wikipedia.org/wiki/Zaheer_Khan#/media/File:Zaheer_khan_72.jpg,Zaheer Khan
SF28,Shahid Afridi,"Sahibzada Mohammad Shahid Khan Afridi, popularly known as Boom Boom, is a Pakistani cricketer and former captain of the Pakistan national cricket team. As a successful all-rounder, Afridi was respected for his consistent bowling that relies on change of pace rather than spin, but drew greater attention for his aggressive batting style.",https://en.wikipedia.org/wiki/Shahid_Afridi#/media/File:Shahid_Afridi_in_2017.jpg,"
Shahid Afridi"
SF29,Shane Watson,Shane Robert Watson is an Australian international cricketer who has played for Australia’s national cricket team and currently plays for Chennai Super Kings in the Indian Premier League and Quetta Gladiators in the Pakistan Super League respectively.,https://en.wikipedia.org/wiki/Shane_Watson#/media/File:Shane_Watson_2016_new5.jpg,Shane Watson
SF30,Shaun Marsh,"Shaun Edward Marsh is an Australian cricketer who plays for the Western Warriors in Australian domestic cricket and represents Australia in Test and One Day International formats. Nicknamed SOS (""Son of Swampy""), he is a left-handed opening batsman.",https://en.wikipedia.org/wiki/Shaun_Marsh#/media/File:Shaun_Marsh.jpg,Shaun Marsh
SF31,Sohail Tanvir,"Sohail Tanvir is a Pakistani cricketer, who has gained repute for his unorthodox left arm bowling action and particularly for the success it has gained him in the Twenty20 format of the game.",https://www.flickr.com/photos/junaidrao/12545857264,Sohail Tanvir
SF32,R P Singh,,,
SF33,Pragyan Ojha,"Pragyan Prayash Ojha is an Indian cricketer, who has represented India in Test, ODIs and T20. He is an attacking slow left arm orthodox bowler and left-hand tail-ender batsman.",https://en.wikipedia.org/wiki/Pragyan_Ojha#/media/File:PragyanOjha_.jpg,Indian Cricketer Pragyan Ojha
SF34,Robin Uthappa,Robin Venu Uthappa is an Indian cricketer. He plays for Karnataka in domestic cricket and Kolkata Knight Riders in the IPL.,https://en.wikipedia.org/wiki/Robin_Uthappa#/media/File:Robin_Uthappa_on_the_Show.jpg,Robin Uthappa
SF35,Matthew hayden,"Matthew Lawrence Hayden AM is an Australian cricket commentator and former cricketer. His career spanned fifteen years. Hayden was a powerful and aggressive left-handed opening batsman, known for his ability to score quickly at both Test and one day levels.",https://en.wikipedia.org/wiki/Matthew_Hayden#/media/File:Matt_Hayden.jpg,Australian cricketer Matthew Hayden
SF36,Adam Gilchrist,"Adam Craig Gilchrist, AM nicknamed ""Gilly"" or ""Churchy"", is an Australian cricket commentator and former international cricketer and former captain of Australia. He was an attacking left-handed batsman and record-breaking wicket-keeper, who redefined the role for the Australia national team through his aggressive batting.",https://en.wikipedia.org/wiki/Adam_Gilchrist#/media/File:Adam_Gilchrist_of_Australia_(cropped).jpg,Adam Gilchrist
SF37,Trent Boult,"Trent Alexander Boult is a New Zealand international cricketer who plays as a bowler for Northern Districts in New Zealand's domestic cricket, and New Zealand internationally.","https://en.wikipedia.org/wiki/Trent_Boult#/media/File:2018.02.03.22.23.14-AUSvNZL_T20_AUS_innings,_SCG_(39533156665).jpg",Trent Boult
SF38,Martin Guptil,Martin James Guptil is a New Zealand international cricketer who plays as an opening batsman in limited overs formats of the game. Guptill is the first cricketer from New Zealand and the fifth overall to have scored a double century in a One Day International match.,https://en.wikipedia.org/wiki/Martin_Guptill#/media/File:Martin_Guptill_2_(cropped).jpg,Martin Guptil
SF39,Mitchell Starc,"Mitchell Aaron Starc, is an Australian international cricketer who plays for the Australian national team and New South Wales in domestic cricket. He is a left-arm fast bowler and a capable lower order left-handed batsman.",https://en.wikipedia.org/wiki/Mitchell_Starc#/media/File:Mitchell_Starc.jpg,Mitchel Starc
SF40,Floyd Reifer,"Floyd Lamonte Reifer is a Barbadian cricketer. He is a left-handed middle-order batsman and a right-arm medium pace bowler. Reifer has played six Tests and eight One Day Internationals for the West Indies cricket team, spread over a home tour against Sri Lanka in 1997 and the 2009 edition of the ICC Champions trophy.",no image available,n/a
SF41,Martin Crowe,"Martin David Crowe MBE was a New Zealand former cricketer, Test and ODI captain as well as a commentator. He played for the New Zealand national cricket team between 1982 and 1995, and is regarded as the country's greatest batsman.",https://en.wikipedia.org/wiki/Martin_Crowe#/media/File:Martin_Crowe_2011.jpg,Martin Crowe batting in a charity match in 2011
SF42,Lance klusner,"Lance Klusener is a former South African all-rounder cricketer. He is known for his aggressive batting and his fast-medium swing bowling. He is nicknamed ""Zulu"" because of his fluency in the Zulu language. Since his retirement he has occasionally commentated on cricket in both Zulu and Xhosa.",no image available,n/a
SF43,geoff Allott,"Geoffrey Ian Allott  is a former New Zealand cricketer who played in 10 Tests and 31 One Day Internationals from 1996 to 2000. He retired from all cricket in 2001, following series of injuries.",no image available,n/a
SF44,Mickey Arthur,"John Michael ""Mickey"" Arthur is a South African cricket coach and former cricketer, who played in South African domestic cricket from 1986 to 2001. He is the current coach of the Pakistan Cricket Team.",https://en.wikipedia.org/wiki/Mickey_Arthur#/media/File:Mickey_Arthur.jpg,Mickey Arthur
SF45,Ottis Gibson,"Ottis Delroy Gibson is a former West Indian player from Barbados. A pace bowler and exploiter of the older cricket ball for the West Indies, Gibson is now the head coach of the South African cricket team.",no image available,n/a
SF46,Gary Stead,"Gary Raymond Stead is a former New Zealand Test cricketer who is the head coach of the New Zealand cricket team, having been appointed in August 2018. A top-order batsman, Stead played five Tests in nine months in 1999, averaging 34.75 and never being dismissed in single figures.",https://commons.wikimedia.org/wiki/File:Gary_Stead.jpg,Gary Stead
SF47,Shane Warne,"Shane Keith Warne is an Australian cricket commentator and former cricketer, and ODI captain of the Australian national team. Widely regarded as one of the greatest bowlers in the history of the game, Warne was named one of the Wisden Cricketers of the Year in the 1994 Wisden Cricketers' Almanack.",https://en.wikipedia.org/wiki/Shane_Warne#/media/File:Shane_Warne_February_2015.jpg,Shane Warne
SF48,Ricky Ponting,"Ricky Thomas Ponting, AO, is an Australian cricket commentator and former cricketer, and two-time World Cup winning captain in 2003 and 2007, widely regarded as one of the greatest batsmen of all time. Ponting was captain of the Australian national team during its 'golden era'; between 2004 and 2011 in Tests and 2002 and 2011 in One Day Internationals.",https://en.wikipedia.org/wiki/Ricky_Ponting#/media/File:Ricky_Ponting_2015.jpg,Ricky Ponting
SF49,Trevor Bayliss,"Trevor Harley Bayliss is an Australian cricket coach and former first class cricketer. He played for New South Wales between 1985 and 1997 before becoming a coach. Bayliss is currently coach of England. He coached Sri Lanka between 2007 and 2011, a period which culminated in his team finishing as runners-up in the 2011 World Cup.",no image available,n/a
SF50,Imran khan,Imran Ahmed Khan Niazi HI PP is a Pakistani politician and former international cricketer who is the 22nd and incumbent Prime Minister of Pakistan. ,https://en.wikipedia.org/wiki/Imran_Khan#/media/File:Mike_Pompeo_with_Imran_Khan_in_Islamabad_-_2018_(29559549217)_(cropped).jpg,Imran Khan
