su,Title,Short description,Image Link,Image caption
SF51,Chaminda Vaas,"Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas, more widely known as Chaminda Vaas, is a former Sri Lankan international cricketer, who played all forms of the game, and a former ODI captain. Often described as the 'most penetrative and successful new-ball bowler Sri Lanka has produced' Vaas currently holds the record for the best bowling figure in ODI history, and only bowler to take an 8 wicket-haul in ODIs.",https://en.wikipedia.org/wiki/Chaminda_Vaas#/media/File:Chaminda_Vaas.jpg,Chaminda Vaas
SF52,Sunil Narine,"Sunil Philip Narine is a Trinidadian cricketer of Indian descent who plays for the West Indies. Primarily an off-spin bowler, he is also an aggressive left-handed batsman.",no image available,n/a
SF53,Javed Miandad,"Mohammad Javed Miandad, popularly known as Javed Miandad, is a Pakistani cricket coach, commentator and former cricketer known for his unconventional style of captaincy and batting. ",https://commons.wikimedia.org/wiki/File:Rene_Schoonheim_and_Javed_Miandad_1978.jpg,Rene Schoonheim and Javed Miandad
SF54,Inzamam ul Haq,"Syed Inzamam-ul-Haq, also known as Inzi, is a former Pakistani cricketer, and former captain.",https://en.wikipedia.org/wiki/Inzamam-ul-Haq#/media/File:Inzamam-ul-Haq.jpg,Inzamam ul Haq
SF55,Allan Donald,"Allan Anthony Donald is a former South African cricketer who is now a cricket coach. Often nicknamed 'White Lightning', he is considered as one of the South Africa national cricket team's most successful pace bowlers.",https://en.wikipedia.org/wiki/Allan_Donald#/media/File:Allan_Donald.jpg,Allan Donald
SF56,Jacques Kallis,"Jacques Kallis is a former South African cricketer, and, a former Test and ODI captain. As a right-handed batsman and right-arm fast-medium swing bowler, Kallis is regarded as one of the greatest cricketers of all time and the game's greatest all rounder.",https://en.wikipedia.org/wiki/Jacques_Kallis#/media/File:JAQUES_KALLIS_(3175901786).jpg,Jacques Kallis
SF57,Brendon McCullum,"Brendon Barrie ""Baz"" McCullum, ONZM is a former New Zealand international cricketer, who played all formats, and also a former captain in all forms. McCullum took quick scoring to Test matches as well, notably recording the fastest test century of all time. He is considered as one of the most successful batsmen and captains of New Zealand cricket.",https://en.wikipedia.org/wiki/Brendon_McCullum#/media/File:England_vs._New_Zealand_2015_(3)_(McCullum_further_cropped).jpg,Brendon McCullum
SF58,Sanath Jayasuriya,"Deshabandu Sanath Teran Jayasuriya is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team. Considered one of the greatest One Day International (ODI) players of all time, Jayasuriya is well known for his powerful striking and match winning all-round performances in ODI cricket.",https://en.wikipedia.org/wiki/Sanath_Jayasuriya#/media/File:Sanath_jayasuriya_portrait.jpg,Sanath Jayrasuriya
SF59,Muttaiah Muralitharan,Deshabandu Muttiah Muralitharan is a former Sri Lankan cricketer who was rated the greatest Test match bowler ever by Wisden Cricketers' Almanack in 2002.,https://en.wikipedia.org/wiki/Muttiah_Muralitharan#/media/File:Photograph_of_Muttiah_Muralitharan.jpg,Muttiah Muralitharan
SF60,Arjuna Ranatunga,"Deshamanya Arjuna Ranatunga is a former Sri Lankan cricketer and 1996 Cricket World Cup winning captain for Sri Lanka. Often nicknamed as Captain Cool, he is regarded as the pioneer to lift Sri Lankan cricket from underdog status to one of great forces in cricketing world. Ranatunga started his political career in 2005, and now currently is the cabinet minister of Minister of Transport and Civil Aviation.",https://en.wikipedia.org/wiki/Arjuna_Ranatunga#/media/File:Arjuna_Ranatunga.jpg,Arjuna Ranatunga
SF61,Kumar Sangakkara,Kumar Sangakkara is a Sri Lankan cricket commentator and former cricketer and captain of the Sri Lankan national team. He is widely regarded as one of the world's most influential cricketers and one of the greatest batsmen of all-time.,https://en.wikipedia.org/wiki/Kumar_Sangakkara#/media/File:Sangakkara_(portrait).jpg,Kumar Sangakkara
SF62,Clive Lloyd,Clive Hubert Lloyd CBE AO is a former West Indies cricketer. In 1971 he was named Wisden Cricketer of the Year. He captained the West Indies between 1974 and 1985 and oversaw their rise to become the dominant Test-playing nation.,https://en.wikipedia.org/wiki/Clive_Lloyd#/media/File:Clive_Lloyd_at_%27Idea_Champions_Of_The_World%27_press_meet.jpg,Clive Lloyd
SF63,Curtly Ambrose,"Sir Curtly Elconn Lynwall Ambrose, KCN is a former cricketer from Antigua who played 98 Test matches for the West Indies. A fast bowler, he took 405 Test wickets at an average of 20.99 and topped the ICC Player Rankings for much of his career to be rated the best bowler in the world.",https://en.wikipedia.org/wiki/Curtly_Ambrose#/media/File:Curtly_ambrose2_crop.jpg,Curtly Ambrose
SF64,Viv Richards,"Sir Isaac Vivian Alexander Richards, KNH, OBE, known as Viv Richards, is an Antiguan former cricketer, who represented the West Indies at Test and international levels. He is regarded as one of the greatest batsmen of all time.",https://en.wikipedia.org/wiki/Viv_Richards#/media/File:Vivian_richards_crop.jpg,Viv Richards
SF65,Waqar Younis,"Waqar Younis is a Pakistani Australian cricket coach, commentator and former cricketer who captained Pakistan national cricket team. A right-arm fast bowler, Waqar is regarded as one of the greatest bowlers of all time. He is also the former coach of the Pakistani cricket team.",https://en.wikipedia.org/wiki/Waqar_Younis#/media/File:Waqar_younis.jpg,Waqar younis
SF66,Brian lara,"Brian Charles Lara, TC, OCC, AM is a Trinidadian former international cricketer, widely acknowledged as one of the greatest batsmen of all time. He topped the Test batting rankings on several occasions and holds several cricketing records.",https://en.wikipedia.org/wiki/Brian_Lara#/media/File:Brian_Lara_at_2012_Mumbai_Marathon_pre_bash.jpg,Brian Lara
SF67,Graham Gooch,"Graham Alan Gooch, OBE, DL is a former English first-class cricketer who captained Essex and England. He was one of the most successful international batsmen of his generation, and through a career spanning from 1973 until 2000, he became the most prolific run scorer of all time, with 67,057 runs across first-class and limited-overs games.",https://en.wikipedia.org/wiki/Graham_Gooch#/media/File:Graham_Gooch_01.jpg,Graham Gooch
SF68,Andre russel,"Andre Dwayne Russell is a Jamaican cricketer. Russell plays for the West Indies internationally and for Jamaica in West Indian domestic cricket, as an all-rounder. He bats predominantly in the middle order for the West Indies. Widely regarded as one of the most powerful strikers of the cricket ball, Russell scored a century in a record 40 balls in the 2018 Caribbean Premier League against Trinbago Knight Riders.",https://en.wikipedia.org/wiki/Andre_Russell#/media/File:Andre_Russell_2018_.jpg,Andre Russell
SF69,Dwayne Bravo,"Dwayne John Bravo is a former Trinidadian cricketer, who played all formats of the game and a former captain of West Indies in all formats and plays league cricket for Chennai Super Kings & Quetta Gladiators. A genuine all-rounder, Bravo bats right-handed and bowls right-arm medium-fast pace.",https://en.wikipedia.org/wiki/Dwayne_Bravo#/media/File:Dwayne_Bravo_2010.jpg,Dwayne Bravo
SF70,Glenn Maxwell,"Glenn James Maxwell is an Australian international cricketer, who currently plays ODI and Twenty20 cricket for Australia. He has also played Test cricket for Australia. He represents Victoria and Melbourne Stars in Australian domestic cricket and Lancashire County Cricket Club in English County Cricket.",https://en.wikipedia.org/wiki/Glenn_Maxwell#/media/File:Glenn_Maxwell_3.jpg,Glenn Maxwell
SF71,Mohit Sharma,Mohit Mahipal Sharma (born 18 September 1988) is an Indian cricketer who plays for Haryana. He is a right-arm medium-fast bowler.,,
SF72,Mike Hussey,"Michael Edward Killeen Hussey (born 27 May 1975) also known as Mike Hussey is an Australian cricket coach, commentator and former international cricketer, who played all forms of the game. Hussey is also widely known by his nickname 'Mr Cricket'.",https://en.wikipedia.org/wiki/Michael_Hussey#/media/File:Mike_Hussey_3.jpg,Mike Hussey at a training session at the en:Adelaide Oval
SF73,Nathan Astle,"Nathan John Astle MNZM (born 15 September 1971) is a former New Zealand cricketer, who played all formats of the game.",https://en.wikipedia.org/wiki/Nathan_Astle#/media/File:Australia_vs._New_Zealand_(cropped).jpg,Australia vs. New Zealand 
SF74,Ross Taylor,"Luteru Ross Poutoa Lote Taylor (born 8 March 1984) is a New Zealand cricketer, who plays predominantly at number four in all formats of the game. Taylor is considered as one of the greatest batsmen to represent New Zealand ",https://en.wikipedia.org/wiki/Ross_Taylor#/media/File:Ross_Taylor_(6159940521)_(cropped).jpg,"Ross Taylor, India Vs New zealand One day International, 10 December 2010"
SF75,David Gower,"David Ivon Gower OBE (born 1 April 1957) is a British cricket commentator and former cricketer who was captain of the England cricket team during the 1980s. Described as one of the most stylish left-handed batsmen of his era, Gower played 117 Test matches and 114 One Day Internationals (ODI)",https://en.wikipedia.org/wiki/David_Gower#/media/File:David_Gower.jpg,"at Sydney Cricket Ground, Australia, c.2007."
SF76,Roger Binny,Roger Michael Humphrey Binny (born 19 July 1955) is an Indian former cricketer. He played 27 tests and 72 ODIs for India.,https://en.wikipedia.org/wiki/Roger_Binny#/media/File:Roger_Binny_2018.jpg,"Roger Binny in 2018 at British Library, Bangalore"
SF77,Gordon Greenidge,"Cuthbert Gordon Greenidge MBE (born 1 May 1951)[1] is a Barbadian former first-class cricketer, who played Tests and One Day Internationals for 17 years for West Indies.",N/A,N/A
SF78,Mike Hendrick,"Michael Hendrick (born 22 October 1948) is a former English cricketer, who played in thirty Tests and twenty two ODIs for England from 1973 to 1981. He played for Derbyshire from 1969 to 1981, and for Nottinghamshire from 1982 to 1984.

",N/A,N/A
SF79,Glenn Turner,Glenn Maitland Turner (born 26 May 1947) played cricket for New Zealand and was one of the country's best and most prolific batsmen. He is the current head of the New Zealand Cricket selection panel.,N/A,N/A
SF80,Gary Gilmour,"Gary ""Gus"" John Gilmour (26 June 1951 – 10 June 2014) was an Australian cricketer who played in 15 Tests and 5 One Day Internationals (ODIs) between 1973 and 1977.",N/A,N/A
SF81,Andrew flintoff,,https://en.wikipedia.org/wiki/Andrew_Flintoff#/media/File:Andrew_Flintoff.jpg,Andrew Flintoff after training at Adelaide Oval
SF82,Joe Root,Joseph Edward Root (born 30 December 1990) is an English international cricketer who is the current captain of the England Test team. He also represents Yorkshire domestically. He is often regarded as one of the best batsmen in the world.,https://en.wikipedia.org/wiki/Joe_Root#/media/File:Joe_root_training.jpg,Joe Root in training in Australia
SF83,Kevin Pietersen,Kevin Peter Pietersen MBE (born 27 June 1980) is a former English cricketer. He is a right-handed batsman and occasional off spin bowler who played in all three formats for England between 2005 and 2014. ,https://en.wikipedia.org/wiki/Kevin_Pietersen#/media/File:Kevin_Pietersen_2014.jpg,Kevin Pietersen in 2014
SF84,Kyle Mills,Kyle David Mills (born 15 March 1979) is a former New Zealand international cricketer who captained the New Zealand cricket team in limited overs matches. Mills played top-class cricket between 1998 and 2015 as an all-rounder.,https://en.wikipedia.org/wiki/Kyle_Mills#/media/File:Kyle_Mills.JPG,Kyle Mills
SF85,Andrew Tye,Andrew James Tye (born 12 December 1986) is an Australian cricketer who plays One Day Internationals (ODIs) and Twenty20 Internationals (T20Is) for the Australian national cricket team. He is most famous for his use of the knuckle ball and wide variation of pace.,"https://en.wikipedia.org/wiki/Andrew_Tye#/media/File:2018.02.03.20.38.56-AUSvNZL_T20_NZL_innings,_SCG-0001_(38618205890)_(Tye_cropped).jpg",Andrew Tye
SF86,Suresh Raina,"Suresh Kumar Raina (born 27 November 1986) is an Indian international cricketer. An aggressive left-handed middle-order batsman and an occasional off-spin bowler, he is also regarded as one of the best fielders in world cricket.",https://en.wikipedia.org/wiki/Suresh_Raina#/media/File:Suresh_Raina1.jpg,Indian cricketer Suresh Raina
SF87,Steve Smith,"Steven Peter Devereux Smith (born 2 June 1989) is an Australian international cricketer and former captain of the Australian national team. On 30 December 2017, he reached a Test batting rating of 947, the second-highest of all time","https://en.wikipedia.org/wiki/Steve_Smith_(cricketer)#/media/File:Steve_Smith_(cricketer),_2014_(cropped).jpg",STEVE SMITH
SF88,Ravichandran Ashwin,"Ravichandran Ashwin (About this soundpronunciation (help·info); born 17 September 1986) is an Indian international cricketer. A Bowler who bats right-handed and bowls right-arm off break, Ashwin plays for Tamil Nadu in domestic cricket and captains Kings XI Punjab in the Indian Premier League",https://en.wikipedia.org/wiki/Ravichandran_Ashwin#/media/File:Ravichandran_Ashwin_(cropped).jpg,Ravichandran Ashwin receives an award from VVS Laxman at the 2014 CEAT Cricket Ratings Award.
SF89,Prithvi Shaw,Prithvi Pankaj Shaw (born 9 November 1999) is an Indian cricketer and former India national under-19 cricket team captain.,,
SF90,Rishab Pant,"Rishabh Rajendra Pant (born 4 October 1997) is a professional Indian cricketer who plays for India, Delhi, and the Delhi Capitals.[2] In December 2015, he was named in India's squad for the 2016 Under-19 Cricket World Cup",,
SF91,Shreyas Iyer,"Shreyas Santosh Iyer (born 6 December 1994) is an Indian cricketer who presently captains Delhi Capitals in the Indian Premier League. A right-handed top-order batsman, Iyer has played One Day Internationals and Twenty20 Internationals for the India national cricket team.",,
SF92,Bogra,"Bogra, officially known as Bogura, is a major city located in the Bogra District, Rajshahi Division, Bangladesh. It is major commercial hub.Bogra is named after Nasiruddin Bughra Khan, the Governor of Bengal from 1279 to 1282",https://en.wikipedia.org/wiki/Bogra#/media/File:Bogra_Sathmatha.jpg,Bogra Sathmatha (Heart of Bogra)
SF93,Galle,"Galle (formerly Point de Galle) is a major city in Sri Lanka, situated on the southwestern tip, 119 km from Colombo.Galle is the best example of a fortified city built by the Portuguese in South and Southeast Asia, showing the interaction between Portuguese architectural styles and native traditions. ",https://en.wikipedia.org/wiki/Galle#/media/File:GalleLighthouse.JPG,Lighthouse in Galle fort
SF94,Nangarhar,"Nangarhār also called Nangrahar or Ningrahar, is one of the 34 provinces of Afghanistan, located in the eastern part of the country. It is divided into twenty-two districts and has a population of about 1,436,000.",https://en.wikipedia.org/wiki/Nangarhar_Province#/media/File:Branches_of_the_Kunar_River_meet_in_Nangarhar_Province.jpg,Branches of the Kunar River meet with the Kabul River in Nangarhar
SF95,Sialkot,"Sialkot is a city in Punjab, Pakistan. It is located in north-east Punjab — one of Pakistan's most industrialised regions.",https://en.wikipedia.org/wiki/Sialkot#/media/File:Jagannath_Hindu_Temple_Sialkot.jpg,Jagannath Temple in Sialkot is dedicated to the Hindu God Jagannath.
SF96,Ayodhya,"Ayodhya is a city located in Faizabad district of Uttar Pradesh. The city is identified with the legendary city of Ayodhya, and as such, is the birthplace of Rama and setting of the epic Ramayana.",https://en.wikipedia.org/wiki/Ayodhya#/media/File:Kanak_Bhawan.jpg,The ‘Kanak Bhawan’ is the one of the most importantemples in Ayodhya dedicated to Lord Ram and his divine consort Sita.
SF97,Johannesburg,"Johannesburg (also known as Jozi, Jo'burg, and eGoli) is the largest city in South Africa and one of the 50 largest urban areas in the world.",https://en.wikipedia.org/wiki/Johannesburg#/media/File:Johannesburg_view_topofCC_03.jpg,Johannesburg Central Business District
SF98,West Indies,"The West Indies is a region of the North Atlantic Ocean and the Caribbean that includes the island countries and surrounding waters of three major archipelagos: the Greater Antilles, the Lesser Antilles, and the Lucayan Archipelago.[1]

The region includes all the islands in or bordering the Caribbean Sea, plus The Bahamas and the Turks and Caicos Islands, which are in the Atlantic Ocean. Depending on the context, some references to the West Indies may include some nations of northern South America that share the history and culture of the West Indian islands.",https://en.wikipedia.org/wiki/West_Indies#/media/File:Caribbean_general_map.png,West Indies Cricket Board Flag