Date,Time,Venue,,Match Details,Team to watch - 1,Team to watch - 2,Player to watch - 1,Player to watch - 2,Player to watch - 3,Fact of the day - 1,Fact of the day - 2,Quiz of the day -1,Quiz of the day -2
,,,,,,,,,,,,,
"May 30, Thu",3:00 PM,"Kennington Oval, London",Match 1,"England vs South Africa, ",R4,R14,O31,O32,O38,F20,F55,Q37,Q26
"May 31, Fri",3:00 PM,"Trent Bridge, Nottingham",Match 2,Windies vs Pakistan,R3,R8,O27,O39,,F56,F27,Q73,Q60
"Jun 01, Sat",3:00 PM,"Sophia Gardens, Cardiff",Match 3,New Zealand vs Sri Lanka,R15,R13,O30,O40,,F49,F24,Q59,Q30
,6:00 PM,"County Ground, Bristol",Match 4,Afghanistan vs Australia,R17,R2,O26,O41,,F58,F34,Q45,Q63
"Jun 02, Sun",3:00 PM,"Kennington Oval, London",Match 5,South Africa vs Bangladesh,R14,R18,O38,O42,,F20,F57,Q42,Q60
"Jun 03, Mon",3:00 PM,"Trent Bridge, Nottingham",Match 6,England vs Pakistan,R4,R8,O31,O32,O39,F55,F27,Q4,Q35
"Jun 04, Tue",3:00 PM,"Sophia Gardens, Cardiff",Match 7,Afghanistan vs Sri Lanka,R17,R13,O40,O41,,F59,F25,Q24,Q35
"Jun 05, Wed",3:00 PM,"The Rose Bowl, Southampton",Match 8,South Africa vs India,R14,R1,O1,O2,O38,F53,F22,Q17,Q26
,6:00 PM,"Kennington Oval, London",Match 9,Bangladesh vs New Zealand,R18,R15,O30,O42,,F57,F60,Q54,Q28
"Jun 06, Thu",3:00 PM,"Trent Bridge, Nottingham",Match 10,Australia vs Windies,R2,R3,O26,O27,,F56,F54,Q41,Q74
"Jun 07, Fri",3:00 PM,"County Ground, Bristol",Match 11,Pakistan vs Sri Lanka,R8,R13,O40,O39,,F27,F25,Q33,Q19
"Jun 08, Sat",3:00 PM,"Sophia Gardens, Cardiff",Match 12,England vs Bangladesh,R4,R18,O31,O32,O42,F55,F57,Q61,Q55
,6:00 PM,"The Cooper Associates County Ground, Taunton",Match 13,Afghanistan vs New Zealand,R17,R15,O30,O41,,F60,F58,Q32,Q32
"Jun 09, Sun",3:00 PM,"Kennington Oval, London",Match 14,India vs Australia,R1,R2,O1,O2,O26,F5,F16,Q23,Q47
"Jun 10, Mon",3:00 PM,"The Rose Bowl, Southampton",Match 15,South Africa vs Windies,R14,R3,O38,O27,,F22,F56,Q72,Q6
"Jun 11, Tue",3:00 PM,"County Ground, Bristol",Match 16,Bangladesh vs Sri Lanka,R18,R13,O42,O40,,F57,F25,Q43,Q38
"Jun 12, Wed",3:00 PM,"The Cooper Associates County Ground, Taunton",Match 17,Australia vs Pakistan,R2,R8,O26,O39,,F34,F27,Q57,Q62
"Jun 13, Thu",3:00 PM,"Trent Bridge, Nottingham",Match 18,India vs New Zealand,R1,R15,O1,O2,O30,F60,F9,Q17,Q18
"Jun 14, Fri",3:00 PM,"The Rose Bowl, Southampton",Match 19,England vs Windies,R4,R3,O31,O32,O27,F56,F55,Q15,Q14
"Jun 15, Sat",3:00 PM,"Kennington Oval, London",Match 20,Sri Lanka vs Australia,R13,R2,O40,O26,,F54,F25,Q12,Q52
,6:00 PM,"Sophia Gardens, Cardiff",Match 21,South Africa vs Afghanistan,R14,R17,O38,O41,,F20,F59,Q59,Q20
"Jun 16, Sun",3:00 PM,"Old Trafford, Manchester",Match 22,India vs Pakistan,R1,R8,O1,O2,O39,F12,F27,Q64,Q28
"Jun 17, Mon",3:00 PM,"The Cooper Associates County Ground, Taunton",Match 23,Windies vs Bangladesh,R3,R18,O27,O42,,F57,F56,Q73,Q7
"Jun 18, Tue",3:00 PM,"Old Trafford, Manchester",Match 24,England vs Afghanistan,R4,R17,O31,O32,O41,F55,F58,Q70,Q54
"Jun 19, Wed",3:00 PM,"Edgbaston, Birmingham",Match 25,New Zealand vs South Africa,R15,R14,O30,O38,,F60,F22,Q69,Q71
"Jun 20, Thu",3:00 PM,"Trent Bridge, Nottingham",Match 26,Australia vs Bangladesh,R2,R18,O26,O42,,F16,F57,Q49,Q22
"Jun 21, Fri",3:00 PM,"Headingley, Leeds",Match 27,England vs Sri Lanka,R4,R13,O31,O32,O40,F55,F25,Q60,Q35
"Jun 22, Sat",3:00 PM,"The Rose Bowl, Southampton",Match 28,India vs Afghanistan,R1,R17,O1,O2,O41,F13,F59,Q5,Q34
,6:00 PM,"Old Trafford, Manchester",Match 29,Windies vs New Zealand,R3,R15,O27,O30,,F56,F60,Q11,Q31
"Jun 23, Sun",3:00 PM,"Lord�۪s, London",Match 30,Pakistan vs South Africa,R8,R4,O38,O39,,F20,F27,Q27,Q44
"Jun 24, Mon",3:00 PM,"The Rose Bowl, Southampton",Match 31,Bangladesh vs Afghanistan,R18,R17,O42,O41,,F58,F57,Q67,Q1
"Jun 25, Tue",3:00 PM,"Lord�۪s, London",Match 32,England vs Australia,R4,R2,O31,O32,O26,F34,F55,Q58,Q50
"Jun 26, Wed",3:00 PM,"Edgbaston, Birmingham",Match 33,New Zealand vs Pakistan,R15,R8,O30,O39,,F60,F27,Q25,Q31
"Jun 27, Thu",3:00 PM,"Old Trafford, Manchester",Match 34,Windies vs India,R3,R1,O1,O2,O27,F56,F28,Q61,Q80
"Jun 28, Fri",3:00 PM,"Riverside Ground, Chester-le-Street",Match 35,Sri Lanka vs South Africa,R13,R14,O38,O40,,F22,F25,Q11,Q46
"Jun 29, Sat",3:00 PM,"Headingley, Leeds",Match 36,Pakistan vs Afghanistan,R8,R17,O39,O41,,F27,F59,Q25,Q42
,6:00 PM,"Lord�۪s, London",Match 37,New Zealand vs Australia,R15,R2,O27,O26,,F60,F16,Q31,Q49
"Jun 30, Sun",3:00 PM,"Edgbaston, Birmingham",Match 38,England vs India,R4,R1,O1,O2,O31,F55,F36,Q38,Q76
"Jul 01, Mon",3:00 PM,"Riverside Ground, Chester-le-Street",Match 39,Sri Lanka vs Windies,R13,R3,O40,O27,,F25,F56,Q39,Q56
"Jul 02, Tue",3:00 PM,"Edgbaston, Birmingham",Match 40,Bangladesh vs India,R18,R1,O1,O2,O42,F38,F57,Q77,Q66
"Jul 03, Wed",3:00 PM,"Riverside Ground, Chester-le-Street",Match 41,England vs New Zealand,R4,R15,O31,O32,O30,,F55,Q9,Q2
"Jul 04, Thu",3:00 PM,"Headingley, Leeds",Match 42,Afghanistan vs Windies,R17,R3,O41,O27,,F58,F56,Q50,Q11
"Jul 05, Fri",3:00 PM,"Lord�۪s, London",Match 43,Pakistan vs Bangladesh,R8,R18,O39,O42,,F27,F57,Q25,Q5
"Jul 06, Sat",3:00 PM,"Headingley, Leeds",Match 44,Sri Lanka vs India,R13,R1,O1,O2,O40,F25,F53,Q30,Q23
,6:00 PM,"Old Trafford, Manchester",Match 45,Australia vs South Africa,R2,R14,O26,O38,,F34,F20,Q40,Q22
,,,Match 46,Semi-Final,,,,,,,,,
"Jul 09, Tue",3:00 PM,"Old Trafford, Manchester",Match 47,"TBC vs TBC, 1st Semi-Final (1 v 4)",,,,,,,,,
"Jul 11, Thu",3:00 PM,"Edgbaston, Birmingham",Match 48,"TBC vs TBC, 2nd Semi-Final (2 v 3)",,,,,,,,,
,,,Match 49,Final,,,,,,,,,
"Jul 14, Sun",3:00 PM,"Lord�۪s, London",Match 50,"TBC vs TBC, Final",,,,,,,,,
