Article Title,Article Code
Indian national Cricket team,R1
Australian cricket team,R2
2007 cricket world cup,P6
2011 cricket world cup,P7
Virat Kohli,O1
M.S Dhoni,O2
Rohit sharma,O3
Shikhar Dhawan,O4
Sachin Tendulkar,O5
Kapil Dev,O6
Anil Kumble,O7
Sourav ganguly,O8
Rahul dravid,O9
Bangalore,G1
Mumbai,G2
India,G3
Australia,G4
Pakistan,G5
South Africa,G6
Sri Lanka,G7
New Zealand,G8
England,G10
India National Cricket Team,R1
Australian Cricket Team,R2
West Indies Cricket team,R3
England Cricket Team,R4
Chennai Super Kings,R5
Royal Challengers Bangalore,R6
Mumbai Indians,R7
Pakistan Cricket Team,R8
Kings XI Punjab,R9