Q. No,Questions,Answer A,Answer B,Correct Answer, Leading Article ,Article ID,,
Q1,முதல் கிரிக்கெட் உலகக் கோப்பை எப்போது நடைபெற்றது?,1975,1973,A,1975 cricket world cup,P26,,
Q2,ஆண்களுக்கான முதல் கிரிக்கெட் உலகக்கோப்பையை நடத்தியது எந்த நாடு?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,A,England,G10,,
Q3,ஆண்களுக்கான முதல் கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,ஆஸ்திரேலியா,மேற்கிந்தியத் தீவுகள்,B,West Indies cricket team,R3,,
Q4,1975 உலகக்கோப்பை அதிகாரப்பூர்வமாக எப்படி அழைக்கப்பட்டது?,ப்ருடென்ஷியல் உலகக்கோப்பை,ஐசிசி உலகக்கோப்பை,A,1975 cricket world cup,P26,,
Q5,"முதல் கிரிக்கெட் உலகக்கோப்பைக்கு முன், எத்தனை ஒரு நாள் சர்வதேசப் போட்டிகள் விளையாடப்பட்டன?",18,25,A,1975 cricket world cup,P26,,
Q6,இந்த அணிகளில் எந்த அணி 1975 கிரிக்கெட் உலகக்கோப்பை போட்டியில் கலந்து கொண்டது?,கிழக்கு ஆப்பிரிக்கா ,தென் ஆப்பிரிக்கா,A,South African Cricket team,R14,,
Q7,1975-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பையில் அதிக ரன்கள் எடுத்தவர் யார்?,கிளைவ் லாயிட்,க்லென் டுர்னெர்,B,West Indies cricket team,R3,,
Q8,முதல் உலகக்கோப்பையின் முதல் ஆட்டத்தில் எந்த அணிகள் விளையாடியன?,இந்தியா & இங்கிலாந்து,இங்கிலாந்து & மேற்கிந்தியத் தீவுகள்,A,Indian Cricket team,R1,,
Q9,"இங்கிலாந்துக்கு எதிரான முதல் ஆட்டத்தில், சுனில் கவாஸ்கர் எத்தனை பந்துகளில் 36 ரன்கள் எடுத்தார்?",174,224,A,Indian Cricket team,R1,,
Q10,1975-இல் நடந்த முதல் உலகக்கோப்பை கிரிக்கெட்டில் எத்தனை மேட்ச்கள் விளையாடப்பட்டன?,15,19,A,1975 cricket world cup,P26,,
Q11,1979 உலகக்கோப்பையை நடத்திய நாடு எது?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,A,England,G10,,
Q12,"டெஸ்ட் போட்டியை விளையாடாமலே, 1979-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பைக்கு தகுதி பெற்ற இரண்டு அணிகள் எது? ","ஸ்ரீலங்கா, கனடா","கனடா, கிழக்கு ஆப்பிரிக்கா",A,Srilankan Cricket team,R13,,
Q13,1979-ல் கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,B,West Indies Cricket team,R3,,
Q14,1979-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பையில் அதிக ரன்கள் எடுத்தது யார்?,கிளைவ் லாயிட்,கார்டன் கிரீனிட்ச்,B,West Indies Cricket team,R3,,
Q15,1983-ஆம் ஆண்டு நடைபெற்ற ஆண்களுக்கான கிரிக்கெட் உலகக்கோப்பையை நடத்திய நாடு எது?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,A,England,G10,,
Q16,1983 கிரிக்கெட் உலகக்கோப்பை இறுதிப் போட்டியில் இந்தியா எந்த நாட்டை தோற்கடித்தது?,ஆஸ்திரேலியா,மேற்கிந்தியத் தீவுகள்,B,West Indies Cricket team,R3,,
Q17,1983 உலகக்கோப்பை இறுதிப் போட்டியில் 'மேன் ஆஃப் தி மேட்ச்' வென்றவர் யார்?,மொகிந்தர் அமர்நாத்,கபில்தேவ்,A,Indian Cricket team,R1,,
Q18,வெஸ்ட் இண்டீஸுக்கு எதிரான 1983 உலகக்கோப்பை இறுதிப் போட்டியில் இந்தியா எத்தனை ரன்கள் எடுத்தது?,187,183,B,Indian Cricket team,R1,,
Q19,1983 கிரிக்கெட் உலகக்கோப்பையில் எத்தனை மேட்ச்கள் விளையாடப்பட்டன?,15,19,B,1983 cricket world cup,P2,,
Q20,"1989 உலகக் கோப்பையின்போது, ஒரு இன்னிங்கிற்கு எத்தனை ஓவர்கள் இருந்தன?",60,50,B,1987 Cricket world cup,P16,,
Q21,1987 உலகக்கோப்பை இறுதிப்போட்டி எங்கு நடைபெற்றது?,ஃபெரோஸ் ஷா கோட்லா டெல்லி,ஈடன் கார்டன்ஸ் கொல்கத்தா,B,India,G3,,
Q22,1987 கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,ஆஸ்திரேலியா,பாகிஸ்தான்,A,Australian Cricket team,R2,,
Q23,1992-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பை வரலாற்றில் முதல் ஹாட்ரிக்கை எடுத்த வீரர் யார்?,சேட்டன் ஷர்மா,மதன் லால்,A,Indian Cricket team,R1,,
Q24,எந்த உலகக் கோப்பையின்போது வண்ண ஆடைகள் முதலில் அறிமுகப்படுத்தப்பட்டன?,1992,1996,A,1992 cricket world cup,P17,,
Q25,1992 கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,பாகிஸ்தான்,நியூசிலாந்து,A,Pakistan cricket team,R8,,
Q26,1992-ஆம் ஆண்டில் அதன் முதல் உலகக்கோப்பையை விளையாடிய நாடு எது?,ஸ்ரீலங்கா,தென் ஆப்பிரிக்கா,B,South African Cricket team,R14,,
Q27,"1992 உலகக்கோப்பையின் போது மழை காரணமாக தாமதமான அரை இறுதி ஆட்டத்தில், 1 பந்தில் 22 ரன்கள் எடுக்க வேண்டிய நிலையில் இருந்த அணி எது?",தென் ஆப்பிரிக்கா,இங்கிலாந்து,A,South African Cricket team,R14,,
Q28,1992 கிரிக்கெட் உலகக்கோப்பையை நடத்திய நாடு எது?,"ஆஸ்திரேலியா, நியூசிலாந்து","இந்தியா, பாகிஸ்தான்",A,Australia,G4,,
Q29,1992 உலகக்கோப்பை இறுதிப் போட்டியின் சிறப்பு என்ன?,லைட் வெளிச்சத்தில் விளையாடப்பட்ட முதல் உலகக்கோப்பை இறுதிப்போட்டி,முதன்முறையாக உலகக்கோப்பை இறுதிப் போட்டியில் முதலில் பேட்டிங் செய்த அணி வென்றது,A,1992 cricket world cup,P17,,
Q30,"1992-இல் இந்தியாவிற்கும் ஸ்ரீலங்காவிற்கும் இடையேயான போட்டியின் போது, மழைக்கு பிறகு கிரவுண்டை உலர்த்துவதற்கு என்ன முறை பயன்படுத்தப்பட்டது?",சூப்பர் சாப்பர் மெஷின்,ஹெலிகாப்டர்,B,1992 cricket world cup,P17,,
Q31,1992 உலகக்கோப்பையில் நியூசிலாந்து அறிமுகப்படுத்திய பேட்டிங் டெக்னிக் என்ன?,பிஞ்ச் ஹிட்டிங்,ரிவர்ஸ் ஸ்வீப்,A,New zealand cricket team,R15,,
Q32,1996 உலகக்கோப்பை வேறு எப்படி குறிப்பிடப்படுகிறது?,தி வில்ஸ் உலகக்கோப்பை,ரிலையன்ஸ் உலகக்கோப்பை,A,1996 Cricket World cup,P3,,
Q33,1996-ஆம் ஆண்டு ஸ்ரீலங்கா இந்தியாவிற்கு எதிராக ஆடிய அரை இறுதிப் போட்டியில் டீஃபால்ட்டாக வெற்றி பெற்றது. ஏன்?,மழை குறுக்கீடு காரணமாக,மக்கள் குறுக்கீடு காரணமாக,B,1996 Cricket World cup,P3,,
Q34,1996 உலகக்கோப்பையில் அதிக ரன்கள் எடுத்த வீரர் யார்?,சச்சின் டெண்டுல்கர்,அரவிந்த டி சில்வா,A,Sachin tendulkar,O5,,
Q35,1996-ஆம் ஆண்டில் கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,ஸ்ரீலங்கா,ஆஸ்திரேலியா,A,Srilankan Cricket team,R13,,
Q36,1996 கிரிக்கெட் உலகக்கோப்பையில் எத்தனை போட்டிகள் நடத்தப்பட்டன?,37,26,A,1996 Cricket World cup,P3,,
Q37,1999 கிரிக்கெட் உலகக்கோப்பையை நடத்திய நாடு எது?,இங்கிலாந்து,இந்தியா,A,England,G10,,
Q38,1999 உலகக்கோப்பைத் தொடரின் 'மேன் ஆஃப் தி சீரிஸ்' வென்றவர் யார்?,லேன்ஸ் க்ளூஸ்னர்,சச்சின் டெண்டுல்கர்,A,1999 cricket world cup,P4,,
Q39,"1999 கிரிக்கெட் உலகக்கோப்பையின் போது புது வகையான கிரிக்கெட் பந்து அறிமுகப்படுத்தப்பட்டது, அது என்ன?",டியூக் பந்து,குக்கூபாரா பந்து,A,1999 cricket world cup,P4,,
Q40,1999-இல் உலகக்கோப்பையை வென்றது யார்?,ஆஸ்திரேலியா,தென் ஆப்பிரிக்கா,A,Australia Cricket team,R2,,
Q41,1999 கிரிக்கெட் உலகக்கோப்பையை இணைந்து நடத்திய நாடு (கோ-ஹோஸ்ட்) எது?,நெதர்லாந்து,மேற்கிந்தியத் தீவுகள்,A,1999 cricket world cup,P4,,
Q42,1999 கிரிக்கெட் உலகக்கோப்பையில் அதிகபட்ச ரன்களை எடுத்த வீரர் யார்?,ராகுல் டிராவிட்,சவுரவ் கங்குலி,A,Rahul Dravid,O9,,
Q43,"2003 உலகக்கோப்பை தனித்துவமானது, ஏன்?",ஆப்பிரிக்காவில் முதல் உலகக்கோப்பை,8-க்கும் மேற்பட்ட அணிகள் பங்கேற்ற முதல் உலகக்கோப்பை,A,2003 cricket world cup,P5,,
Q44,டெஸ்ட் போட்டியை விளையாடாமலே 2003 கிரிக்கெட் உலகக்கோப்பையின் அரை இறுதிப் போட்டிக்கு வந்த ஒரே நாடு எது? இந்த சாதனையை செய்த ஒரே நாடு இதுதான்.,கென்யா,ஜிம்பாப்வே,A,2003 cricket world cup,P5,,
Q45,2003 கிரிக்கெட் உலகக்கோப்பையின் 'தொடர் நாயகன்' மற்றும் 'அதிகபட்ச ரன் எடுத்தவர்' யார்? ,சச்சின் டெண்டுல்கர்,ஸ்டீவ் வா,A,Sachin tendulkar,O5,,
Q46,"2003 உலகக்கோப்பையின் போது மழை தாமதத்திற்கு பின், தேவையான ஸ்கோரை கணக்கிட என்ன முறை அறிமுகப்படுத்தப்பட்டது?",டக்வொர்த் லூயிஸ் முறை,மோஸ்ட் புரொடக்டிவ் ஓவர்ஸ் முறை,A,2003 cricket world cup,P5,,
Q47,"2003 உலகக்கோப்பையில், இந்தியாவுக்கு எதிரான இறுதிப் போட்டியில் ஆஸ்திரேலியா எத்தனை ரன்கள் எடுத்தது?",359,327,A,Indian Cricket team,R1,,
Q48,2007 கிரிக்கெட் உலகக்கோப்பை எங்கு நடைபெற்றது?,மேற்கிந்தியத் தீவுகள்,தென் ஆப்பிரிக்கா,A,2007 cricket world cup,P6,,
Q49,2007 கிரிக்கெட் உலகக்கோப்பையில் 'தொடர் நாயகன்' விருதை வென்றது யார்?,கிளென் மெக்ராத்,ஆடம் கில்கிறிஸ்ட்,A,2007 cricket world cup,P6,,
Q50,2007-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பையில் இந்தியா எந்த ஸ்டேஜில் தகுதி பெறத் தவறியது?,குரூப் ஸ்டேஜ்,காலிறுதி,A,Indian Cricket team,R1,,
Q51,2011 கிரிக்கெட் உலகக்கோப்பைக்கு அதிகாரப்பூர்வ தூதராக (அம்பாஸிடர்) இருந்தவர் யார்?,சச்சின் டெண்டுல்கர்,எம்.எஸ் தோனி,A,Sachin tendulkar,O5,,
Q52,2011 கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,இந்தியா,ஆஸ்திரேலியா,A,Indian Cricket team,R1,,
Q53,2011 கிரிக்கெட் உலகக்கோப்பையில் 'தொடர் நாயகன்' விருதை வென்றது யார்?,யுவராஜ் சிங்,கௌதம் கம்பீர்,A,2011 cricket World cup,P7,,
Q54,2011 உலகக்கோப்பை உலகெங்கிலும் அதிக எண்ணிக்கையிலான பார்வையாளர்களால் பார்க்கப்பட்டது. பார்வையாளர்களின் எண்ணிக்கை எவ்வளவு?,2.2 பில்லியன்,2.8 பில்லியன்,A,2011 cricket World cup,P7,,
Q55,2011 உலகக்கோப்பை இறுதிப் போட்டியில் இந்தியா சேஸ் செய்ய வேண்டிய ஸ்கோர் என்னவாக இருந்தது?,274,277,A,Indian Cricket team,R1,,
Q56,2015 கிரிக்கெட் உலகக்கோப்பை எங்கு நடைபெற்றது?,"ஆஸ்திரேலியா, நியூசிலாந்து",இங்கிலாந்து,A,2015 cricket World cup,P8,,
Q57,ஆஸ்திரேலியா இதுவரை எத்தனை உலகக்கோப்பைகளை வென்றுள்ளது?,5,4,A,Australian Cricket team,R2,,
Q58,2015 கிரிக்கெட் உலகக்கோப்பையில் 'தொடரின் சிறந்த வீரர்' விருதை வென்றது யார்?,மிட்செல் ஸ்டார்க்,விராட் கோலி,A,2015 Cricket World cup,P8,,
Q59,2015 கிரிக்கெட் உலகக்கோப்பையின் இறுதி ஆட்டத்தில் ஆஸ்திரேலியா எந்த அணிக்கு எதிராக ஆடினர்?,நியூசிலாந்து,ஸ்ரீலங்கா,A,New zealand cricket team,R15,,
Q60,2019 உலகக்கோப்பையை நடத்தப்போவது எந்த நாடு?,இங்கிலாந்து,தென் ஆப்பிரிக்கா,A,England,G10,,
Q61,உலகக்கோப்பை டோர்னமென்ட்டில் அதிகபட்ச ரன்கள் எடுத்த வீரர் யார்?,சச்சின் டெண்டுல்கர்,ரிக்கி பாண்டிங்,A,Sachin tendulkar,O5,,
Q62,உலகக்கோப்பை டோர்னமென்ட்டில் அதிக விக்கெட்டுகளை எடுத்த வீரர் யார்?,கிளென் மெக்ராத்,வக்கார் யூனிஸ்,A,Australian cricket team,R2,,
Q63,உலகக்கோப்பையை அதிகமுறை வென்ற அணி எது?,ஆஸ்திரேலியா,இந்தியா,A,Australian cricket team,R2,,
Q64,100 ஒரு நாள் சர்வதேசப் போட்டிகளை வென்ற ஆஸ்திரேலியர் அல்லாத முதல் கேப்டன் யார்?,எம்.எஸ் தோனி,கிரீம் ஸ்மித்,A,M.S Dhoni,O2,,
Q65,உலகக்கோப்பையில் பங்கேற்ற முதல் முறையிலேயே சதம் அடித்த முதல் இந்திய பேட்ஸ்மேன் யார்?,சச்சின் டெண்டுல்கர்,விராட் கோலி,B,Virat Kohli,O1,,
Q66,2018-இல் அதிகபட்ச சிக்ஸ்களை அடித்த வீரர் யார்?,கிறிஸ் கெய்ல்,ரோஹித் ஷர்மா,B,Rohit Sharma,O3,,
Q67,"ஒரு நாள் சர்வதேசப் போட்டிகளில் மிக வேகமாக 1,000 ரன்களைக் குவித்த இந்திய பேட்ஸ்மேன் யார்?",ஷிகார் தவான்,விராட் கோலி,A,Shikar DHawan,O4,,
Q68,"எந்த ஆஸ்திரேலியா வீரர் அவரது முதல் நேஷனல் போட்டியை விளையாடுவதற்கு முன்பாக, முதல்-கிளாஸ் போட்டியை விளையாடியதில்லை?",ஸ்டீவ் ஸ்மித்,டேவிட் வார்னர்,B,David Warner,O26,,
Q69,டெஸ்ட் போட்டிகளில் பங்கேற்கும் அனைத்து நாடுகளுக்கு எதிராகவும் சதம் அடித்த இளம் வீரர் யார்?,கேன் வில்லியம்சன்,விராட் கோலி,A,Kane Williamson,O30,,
Q70,இரண்டு தனி நாடுகளுக்காக சதம் அடித்த இங்கிலீஷ் கிரிக்கெட் வீரர் யார்?,ஈயோன் மோர்கன்,கெவின் பீட்டர்சன்,A,England Cricket team,R4,,
Q71,150 விக்கெட்டுகளை எடுத்த தென்னாப்பிரிக்க இளம் பந்து வீச்சாளர் யார்?,ககிசோ ரபாடா,டேல் ஸ்டெயின்,A,Kagiso Rabada,O38,,
Q72,"டி-20யில் சதமும், ஒரு நாள் சர்வதேசப் போட்டியில் இரட்டை சதமும், டெஸ்ட் போட்டியில் முச்சதமும் அடித்த ஒரே வீரர் யார்?",கிறிஸ் கெய்ல்,மார்டின் குப்தில்,A,Chris Gayle,O27,,
Q73,மேற்கிந்தியத் தீவுகள் கிரிக்கெட் அணி எத்தனை கரீபிய நாடுகளைப் பிரதிநிதித்துவம் செய்கின்றது?,15,22,A,West indies Cricket team,R3,,
Q74,இறுதிப் போட்டிக்கு அதிக முறை தகுதி பெற்ற அணி எது?,ஆஸ்திரேலியா,ஸ்ரீலங்கா,A,Australian Cricket team,R2,,
Q75,உலகக்கோப்பையில் குரூப் ஸ்டேஜ் போட்டியில் தோற்காத ஒரே இந்திய கேப்டன் யார்?,எம்.எஸ் டோனி,சவுரவ் கங்குலி,A,M.S Dhoni,O2,,
Q76,இந்திய மகளிர் கிரிக்கெட் ஒரு நாள் சர்வதேச அணியின் கேப்டன் யார்?,மிதாலி ராஜ்,ஹர்மன்பிரீத் கவுர்,B,Harmanpreet Kaur,O43,,
Q77,"2018-க்கான ""ஐசிசி பெண் கிரிக்கெட்டர்"" விருது பெற்ற வீராங்கனை யார்?",ஸ்மிருதி மந்தனா,மிதாலி ராஜ்,A,Smirthi Mandana,O44,,
Q78,இங்கிலாந்தில் கே.ஐ.ஏ சூப்பர் லீகை விளையாடிய முதல் பெண் கிரிக்கெட்டர் யார்?,ஹர்மன்பிரீத் கவுர்,ஸ்மிருதி மந்தனா,A,Smirthi Mandana,O44,,
Q79,இந்திய மகளிர் கிரிக்கெட் அணிக்காக அதிக ரன்களை குவித்த வீராங்கனை யார்?,மிதாலி ராஜ்,ஹர்மன்பிரீத் கவுர்,B,Mithali raj,O45,,
Q80,இந்திய மகளிர் கிரிக்கெட் அணிக்காக அதிக விக்கெட்டுகளை எடுத்த வீராங்கனை யார்?,வேதா கிருஷ்ணமூர்த்தி,ஜுலன் கோஸ்வாமி,B,Jhulan Goswami,O46,,
